sample_index,time_ps,harmonic_hartree,total_PE_hartree,intramolecular_hartree,lj_hartree,coulombic_hartree,T_kinetic_K
225,32600.000000,0.2782573406,-0.4523647608,0.2782573406,-0.7306221014,0.0000000000,396.121386
226,32700.000000,0.2610833434,-0.4599012008,0.2610833434,-0.7209845442,0.0000000000,376.951492
227,32800.000000,0.2667348930,-0.4524108810,0.2667348930,-0.7191457740,0.0000000000,398.123420
228,32900.000000,0.2612132601,-0.4502338638,0.2612132601,-0.7114471239,0.0000000000,394.548371
229,33000.000000,0.2584990619,-0.4826628880,0.2584990619,-0.7411619500,0.0000000000,362.351556
230,33100.000000,0.2482263134,-0.4286437784,0.2482263134,-0.6768700918,0.0000000000,367.252419
231,33200.000000,0.2281353430,-0.4513149254,0.2281353430,-0.6794502684,0.0000000000,421.739554
232,33300.000000,0.2700760035,-0.4210070244,0.2700760035,-0.6910830279,0.0000000000,389.160193
233,33400.000000,0.2547206931,-0.4299784766,0.2547206931,-0.6846991697,0.0000000000,391.126560
234,33500.000000,0.2441058986,-0.4932576857,0.2441058986,-0.7373635843,0.0000000000,417.279533
235,33600.000000,0.2625606033,-0.4435604825,0.2625606033,-0.7061210858,0.0000000000,395.262175
236,33700.000000,0.2543826075,-0.4497229264,0.2543826075,-0.7041055338,0.0000000000,414.171009
237,33800.000000,0.2626322245,-0.4631589526,0.2626322245,-0.7257911771,0.0000000000,390.283048
238,33900.000000,0.2599136780,-0.4975868989,0.2599136780,-0.7575005769,0.0000000000,417.840647
239,34000.000000,0.2797716288,-0.4445028499,0.2797716288,-0.7242744787,0.0000000000,390.928612
240,34100.000000,0.2835238857,-0.4358840303,0.2835238857,-0.7194079160,0.0000000000,399.761857
241,34200.000000,0.2713263895,-0.4497190226,0.2713263895,-0.7210454122,0.0000000000,415.771117
242,34300.000000,0.3184462462,-0.3823919987,0.3184462462,-0.7008382449,0.0000000000,381.767280
243,34400.000000,0.2668817258,-0.4478959960,0.2668817258,-0.7147777218,0.0000000000,424.571123
244,34500.000000,0.3178236997,-0.3666290895,0.3178236997,-0.6844527892,0.0000000000,417.675821
245,34600.000000,0.2862979291,-0.3878785614,0.2862979291,-0.6741764905,0.0000000000,361.754618
