time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
9.600000,100.0000,0.0000,99.7448,3.7673,80.6107,2.7469,105.1433,4.5639,113.4810,3.8669,-3708.8828,29.6224,1.0958,1.0829,0.0000,0.0000,0.0000,0.0000
9.700000,100.0000,0.0000,97.9674,2.5928,82.5027,4.3286,105.6764,4.2783,116.1446,6.0937,-3705.3595,28.2525,1.2239,0.6220,0.0000,0.0000,0.0000,0.0000
9.800000,100.0000,0.0000,98.4066,3.4772,82.0718,6.4564,104.6407,3.2242,115.5380,9.0890,-3712.0505,21.1590,1.4023,1.0332,0.0000,0.0000,0.0000,0.0000
9.900000,100.0000,0.0000,97.5961,4.3662,79.9546,4.5293,106.1162,3.1319,112.5575,6.3762,-3702.3593,20.5518,1.1953,1.0719,0.0000,0.0000,0.0000,0.0000
10.000000,100.0000,0.0000,98.4376,3.6486,81.0956,5.0676,104.9521,4.3126,114.1638,7.1341,-3710.1176,28.4327,1.1970,0.4980,-1.1527,49.7944,1309.6142,829.8792
10.100000,100.0000,0.0000,116.9446,12.9649,170.0605,66.7317,104.3995,4.5506,239.4056,93.9427,-3713.7869,30.1180,2619.5948,1721.0301,-3570.9030,2445.7705,1225.3879,869.8771
10.200000,100.0000,0.0000,126.8514,23.0964,175.8715,83.8975,104.1174,2.6096,247.5860,118.1082,-3715.4498,17.1807,3061.6445,2049.6938,-4054.3134,2760.7090,1364.1247,946.0692
10.300000,100.0000,0.0000,153.5469,46.8133,153.1981,56.3938,103.0498,5.0260,215.6672,79.3893,-3722.7691,33.1122,383.3228,310.7555,-1533.3934,1245.2683,1850.3305,1227.5824
10.400000,100.0000,0.0000,120.1844,15.4786,369.9648,216.0368,101.5333,4.0243,520.8243,304.1295,-3732.7296,26.7035,1694.3617,1080.8346,-3456.4198,2264.2706,1782.3349,1202.4935
10.500000,100.0000,0.0000,167.3395,54.5383,281.5940,123.6951,100.2593,4.7057,396.4187,174.1338,-3741.3443,31.4547,2890.6744,1628.1144,-3644.6719,2034.0153,1166.9872,654.6386
10.600000,100.0000,0.0000,176.2873,48.6937,252.8927,131.1089,99.7394,3.8937,356.0140,184.5708,-3744.7316,25.8746,1218.6657,742.1343,-2612.6172,1400.2511,1494.3780,755.2580
10.700000,100.0000,0.0000,118.8922,18.4275,532.0588,310.7747,97.9333,5.7566,749.0149,437.4985,-3757.1964,38.5074,1247.0596,913.7699,-3142.0629,2090.7827,2033.0933,1254.5768
10.800000,100.0000,0.0000,186.1518,65.2721,207.9573,76.0059,98.3427,5.6404,292.7554,106.9986,-3754.4015,37.6667,1873.8073,1266.7962,-3220.6881,2078.6820,1497.9540,1004.5992
10.900000,100.0000,0.0000,126.2037,15.9958,318.2051,165.6874,96.1557,5.8817,447.9586,233.2493,-3769.3256,39.5741,2693.5360,1920.4580,-3935.7547,2639.8743,1520.2816,975.3263
11.000000,100.0000,0.0000,136.8658,31.3984,282.0653,102.6149,96.0174,5.5403,397.0822,144.4578,-3770.2173,37.4662,1890.6514,1291.0598,-4069.5636,2553.1343,2248.1146,1275.3642
11.100000,100.0000,0.0000,133.2473,18.8439,205.4466,84.8968,94.8695,5.9552,289.2209,119.5150,-3778.1756,40.6964,1436.5270,1041.8566,-3317.9964,1905.4060,2258.9159,1423.7558
11.200000,100.0000,0.0000,119.6008,20.7012,268.9496,103.5835,94.0676,6.6140,378.6184,145.8215,-3783.8448,45.6152,2675.2706,1972.0621,-4164.7524,3148.9578,1669.1285,1265.0767
11.300000,100.0000,0.0000,124.8090,17.0357,222.2285,93.3205,92.6472,6.2713,312.8460,131.3736,-3793.5992,42.8604,2242.2006,1931.8315,-3665.9366,2886.3104,1592.5271,1117.3018
11.400000,100.0000,0.0000,120.8668,20.4699,218.1057,85.8452,92.5769,6.3971,307.0420,120.8501,-3794.1215,43.9862,1008.9026,762.1063,-2460.3998,1798.6585,1810.0854,1270.9232
11.500000,100.0000,0.0000,119.5206,17.0923,234.3960,90.9928,91.8040,7.0010,329.9750,128.0967,-3799.6409,48.2844,1682.5652,907.9953,-3294.8796,1921.9930,1670.4880,1080.5425
11.600000,100.0000,0.0000,123.5763,20.7964,246.6967,117.6954,91.0673,6.6291,347.2915,165.6877,-3804.7197,46.0866,2570.6267,1785.8130,-3738.3920,2505.8026,1444.8119,931.0650
11.700000,100.0000,0.0000,135.3353,28.2119,218.0474,81.8565,90.7413,6.9499,306.9599,115.2349,-3807.0759,48.2822,1509.7149,961.4705,-3244.7239,1894.9243,1813.1938,978.1967
11.800000,100.0000,0.0000,114.2699,13.2420,314.6198,151.4068,89.4419,6.8811,442.9114,213.1454,-3816.2285,48.5297,1588.3704,757.6646,-3581.5601,1480.3162,2138.1762,959.9603
11.900000,100.0000,0.0000,141.7502,30.9845,211.7623,75.6293,89.9955,5.9298,298.1119,106.4685,-3812.1112,41.6786,2367.7557,1146.1606,-4135.0357,1910.5318,1872.7410,857.3122
12.000000,100.0000,0.0000,114.8276,11.7045,277.7929,130.8040,89.0909,7.4136,391.0677,184.1416,-3818.8239,51.8436,2156.7195,1360.1511,-3636.4030,1927.0985,1613.3054,735.8074
