time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
27.500000,44.0500,10.6047,64.3531,18.9577,296.0859,44.9920,41.0180,8.9943
27.600000,43.7761,10.4770,78.1936,20.6703,247.2145,36.4354,41.1819,9.2987
27.700000,43.5001,10.3479,57.4755,12.3519,267.7917,72.0664,40.8814,9.1056
27.800000,43.1448,10.1513,75.0323,20.7940,279.8012,23.4523,39.7539,8.2775
27.900000,42.8893,10.0313,57.9945,16.1758,259.9721,33.8916,40.4723,8.9213
28.000000,42.6005,9.8619,67.5876,17.9930,276.9103,41.3470,39.8589,8.2478
28.100000,42.4038,9.7741,61.9394,13.7250,245.4673,39.4784,40.5201,8.9309
28.200000,42.1313,9.6027,60.3900,12.7780,271.5484,53.1488,39.5462,7.9981
28.300000,41.8845,9.4649,66.5466,18.7746,263.3788,20.5006,39.5406,8.1401
28.400000,41.7143,9.4199,54.3911,14.3316,255.7687,47.7078,40.0848,9.0065
28.500000,41.4376,9.2368,65.5056,16.2603,260.8019,48.6741,38.8078,7.5099
28.600000,41.1582,9.0345,55.0518,15.1516,235.3455,36.5907,38.5024,7.0970
28.700000,40.9560,8.9046,61.2494,12.4630,250.7556,43.4737,39.0195,7.6617
28.800000,40.7453,8.7783,52.9312,15.9701,253.3815,20.2057,38.7511,7.5955
28.900000,40.5265,8.6147,55.3924,14.5594,239.4525,30.1617,38.4485,7.0475
29.000000,40.3013,8.4453,56.5727,12.2771,238.9958,35.9519,38.1489,6.8258
29.100000,40.1225,8.3142,52.5815,11.4560,223.9494,22.5759,38.4338,7.0896
29.200000,39.8970,8.1156,58.5049,12.0424,240.0072,29.8929,37.7530,6.2170
29.300000,39.6917,7.9655,48.1593,13.0621,240.3916,11.7862,37.7288,6.5337
29.400000,39.5527,7.8190,56.8697,9.9544,218.3127,25.4822,38.2401,6.4538
