time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
21.700000,300.0000,0.0000,345.4645,45.2964,533.7076,123.0318,292.2303,9.1336
21.800000,300.0000,0.0000,481.1107,112.5021,488.7335,222.1754,311.8972,5.0937
21.900000,300.0000,0.0000,281.6753,11.3841,743.0085,274.2330,307.5683,7.9630
22.000000,300.0000,0.0000,499.3964,121.6935,333.8406,100.5849,302.1594,2.7608
22.100000,300.0000,0.0000,300.5676,7.4506,755.8437,287.8596,302.8283,6.3245
22.200000,300.0000,0.0000,406.2695,45.1953,417.6669,127.8054,308.0807,7.2728
22.300000,300.0000,0.0000,392.1755,52.9929,566.2091,238.6236,307.4653,6.1130
22.400000,300.0000,0.0000,349.7636,40.2904,550.2738,122.4292,306.3011,7.6239
22.500000,300.0000,0.0000,460.4105,98.6879,367.0413,107.4471,294.9177,8.3305
22.600000,300.0000,0.0000,277.5883,5.0712,738.3856,242.2354,307.7623,12.2147
22.700000,300.0000,0.0000,447.0431,87.4312,324.9304,89.9220,308.8346,13.9605
22.800000,300.0000,0.0000,306.6592,27.1877,651.0587,211.0807,300.7811,15.8203
22.900000,300.0000,0.0000,388.8850,51.6194,471.3825,90.3931,293.6847,9.6990
23.000000,300.0000,0.0000,336.2488,14.6534,534.0829,217.4936,294.8476,7.5390
23.100000,300.0000,0.0000,305.4139,12.2535,646.9472,223.9882,301.9213,16.6017
23.200000,300.0000,0.0000,400.8156,48.7029,339.8632,101.9828,302.3503,12.3353
23.300000,300.0000,0.0000,285.8764,6.5245,710.6883,209.3215,299.1243,9.3884
23.400000,300.0000,0.0000,405.6068,47.2789,385.7702,95.8770,291.9525,14.0359
23.500000,300.0000,0.0000,300.0658,12.2945,589.9753,217.8655,295.4137,11.0668
23.600000,300.0000,0.0000,376.9789,41.3279,475.3541,95.7672,293.2558,20.3163
23.700000,300.0000,0.0000,345.8412,27.9494,403.7000,95.8220,303.4119,14.5775
23.800000,300.0000,0.0000,303.1396,5.2691,668.6355,171.0186,299.0288,18.5101
23.900000,300.0000,0.0000,361.3605,23.2674,347.7920,103.2181,297.0492,16.7903
24.000000,300.0000,0.0000,282.1221,17.1293,645.3174,189.7815,296.1996,15.8355
24.100000,300.0000,0.0000,366.2284,35.1992,417.8420,91.0180,301.7499,18.7699
24.200000,300.0000,0.0000,290.9021,12.9766,570.2972,174.6792,300.5361,16.1087
24.300000,300.0000,0.0000,330.0682,11.1219,591.0375,184.0145,302.8099,9.7538
24.400000,300.0000,0.0000,340.7774,3.4468,386.0057,128.6604,297.5159,10.5197
24.500000,300.0000,0.0000,313.1526,10.4047,668.0106,186.9889,302.1913,15.8694
24.600000,300.0000,0.0000,360.2337,25.8120,368.1306,118.9333,303.9090,16.9172
24.700000,300.0000,0.0000,287.0464,5.7038,623.1750,162.0648,307.9462,19.9631
24.800000,300.0000,0.0000,352.0544,17.9044,442.7150,131.4839,301.7185,19.5566
24.900000,300.0000,0.0000,311.4034,5.8793,456.4141,100.2879,303.1809,10.9480
25.000000,300.0000,0.0000,321.0306,8.2903,620.5827,176.8599,305.3231,20.2501
25.100000,300.0000,0.0000,323.1667,4.3339,383.3580,96.5241,308.2703,18.9454
25.200000,300.0000,0.0000,295.7102,9.9521,656.2651,147.8554,310.7328,21.2047
25.300000,300.0000,0.0000,331.2845,4.0310,413.4921,131.2066,310.4049,15.2966
25.400000,300.0000,0.0000,300.9328,6.9597,592.6633,161.2522,297.9734,21.8345
25.500000,300.0000,0.0000,323.9885,12.6926,538.5979,204.3396,306.5871,26.8201
25.600000,300.0000,0.0000,309.2388,9.4463,426.6513,114.2114,302.3460,20.6098
25.700000,300.0000,0.0000,313.3600,6.8308,624.3880,180.7149,299.5249,13.5383
25.800000,300.0000,0.0000,319.2106,6.9652,380.0823,127.5104,306.2232,16.7589
25.900000,300.0000,0.0000,304.0091,3.0586,617.2463,166.1197,296.1656,12.2373
26.000000,300.0000,0.0000,331.4698,6.2008,413.5115,129.5497,294.4010,7.8922
26.100000,300.0000,0.0000,307.8089,7.6591,502.3629,81.2300,300.8205,17.2877
26.200000,300.0000,0.0000,309.5319,9.0705,580.0985,180.8954,299.7502,20.3168
26.300000,300.0000,0.0000,306.8525,8.7736,410.3895,117.6718,300.5011,23.4964
26.400000,300.0000,0.0000,299.8632,1.6234,614.6984,163.3710,299.0018,20.0753
26.500000,300.0000,0.0000,319.0112,13.3498,386.5591,117.7561,298.3635,13.9280
26.600000,300.0000,0.0000,298.1391,1.8209,613.2224,129.1130,300.0120,20.9742
26.700000,300.0000,0.0000,305.3284,16.7669,497.3698,178.9893,301.1107,19.4242
26.800000,300.0000,0.0000,309.6789,4.2446,441.9187,101.5422,294.4978,24.6480
26.900000,300.0000,0.0000,296.6686,15.0805,560.2070,166.5257,298.2065,20.0250
27.000000,300.0000,0.0000,308.7990,8.5649,384.4903,109.7642,300.3920,21.1036
27.100000,300.0000,0.0000,293.0396,1.7370,624.7405,131.0926,300.5601,15.6867
27.200000,300.0000,0.0000,315.1533,12.7941,399.2978,153.1417,290.2227,15.6131
27.300000,300.0000,0.0000,308.2479,9.9630,505.4910,92.1987,294.4533,17.5150
27.400000,300.0000,0.0000,304.4008,4.6340,532.8678,172.1258,293.4903,23.4088
27.500000,300.0000,0.0000,309.3004,7.6227,454.4041,96.3475,297.9915,20.1825
27.600000,300.0000,0.0000,297.1225,9.5251,611.1386,157.2050,292.9986,15.7897
27.700000,300.0000,0.0000,308.3775,10.5835,391.8520,122.9794,304.5675,14.3881
27.800000,300.0000,0.0000,294.1744,7.1862,589.6859,150.7068,299.6636,16.0784
27.900000,300.0000,0.0000,296.6214,11.3698,473.7106,180.1337,303.1201,17.1681
28.000000,300.0000,0.0000,306.1708,6.5331,489.4266,103.7416,298.5808,22.6767
28.100000,300.0000,0.0000,294.0576,13.5834,531.2016,171.3573,294.5191,15.5676
28.200000,300.0000,0.0000,317.0984,2.9172,411.4036,122.1312,291.1125,13.3208
28.300000,300.0000,0.0000,287.6722,8.3150,587.4265,165.1440,300.1277,13.9645
28.400000,300.0000,0.0000,305.4832,5.0624,414.2580,133.2366,302.6401,13.3606
28.500000,300.0000,0.0000,293.1254,10.7698,549.2139,90.6104,298.1346,11.7880
28.600000,300.0000,0.0000,300.8837,3.7596,495.8461,176.9456,291.4183,11.8719
28.700000,300.0000,0.0000,310.0985,12.2903,477.1089,125.4642,294.7227,19.7460
